"EnsemblID","GeneName","Hsap","Anan","Capa","Caty","Ccap","Cjac","Csab","Ggor","Mfas","Mleu","Mmul","Mmur","Mnem","Nleu","Ogar","Ppyg","Panu","Pcoq","Ppan","Psim","Ptep","Ptro","Rbie","Rrox","Sbbo","Tgel","Tsyr","number.of.NAs"
"ENSG00000001084","GCLC","ENST00000650454.1","ENSANAT00000056657.1","ENSCANT00000003088.1","ENSCATT00000042630.1","ENSCCAT00000021336.1","ENSCJAT00000021652.4","ENSCSAT00000011257.1","ENSGGOT00000006751.3","ENSMFAT00000066888.1","ENSMLET00000057643.1","ENSMMUT00000058362.2","ENSMICT00000044908.2","ENSMNET00000047331.1","ENSNLET00000004441.2","ENSOGAT00000007023.2","ENSPPYT00000019448.2","ENSPANT00000010675.2","ENSPCOT00000027819.1","ENSPPAT00000047086.1","ENSPSMT00000003011.1","ENSPTET00000007497.1","ENSPTRT00000033810.5","ENSRBIT00000048374.1","ENSRROT00000056074.1","ENSSBOT00000030187.1","ENSTGET00000004325.1","ENSTSYT00000006044.2",0
"ENSG00000001167","NFYA","ENST00000341376.10","ENSANAT00000060049.1","ENSCANT00000031999.1","ENSCATT00000041382.1","ENSCCAT00000031788.1","ENSCJAT00000080316.2","ENSCSAT00000009274.1","ENSGGOT00000042967.1","ENSMFAT00000013775.1","ENSMLET00000042503.1","ENSMMUT00000074189.2","ENSMICT00000043865.2","ENSMNET00000028463.1","ENSNLET00000042475.1","ENSOGAT00000002640.2","ENSPPYT00000019292.2","ENSPANT00000047797.1","ENSPCOT00000042018.1","ENSPPAT00000060889.1","ENSPSMT00000024350.1","ENSPTET00000050396.1","ENSPTRT00000033550.5","ENSRBIT00000038489.1","ENSRROT00000032881.1","ENSSBOT00000057157.1","ENSTGET00000044122.1","ENSTSYT00000026263.1",0
"ENSG00000001497","LAS1L","ENST00000374811.8","ENSANAT00000031828.1","ENSCANT00000042811.1","ENSCATT00000043499.1","ENSCCAT00000042319.1","ENSCJAT00000083656.2","ENSCSAT00000010043.1","ENSGGOT00000008780.3","ENSMFAT00000017965.1","ENSMLET00000042659.1","ENSMMUT00000005558.4","ENSMICT00000010710.3","ENSMNET00000056602.1","ENSNLET00000044454.1","ENSOGAT00000016071.2","ENSPPYT00000023815.2","ENSPANT00000032377.1","ENSPCOT00000032616.1","ENSPPAT00000044783.1",NA,"ENSPTET00000006869.1","ENSPTRT00000040860.3","ENSRBIT00000031073.1","ENSRROT00000037039.1","ENSSBOT00000042132.1","ENSTGET00000013281.1","ENSTSYT00000014655.2",1
"ENSG00000003096","KLHL13","ENST00000262820.7","ENSANAT00000051160.1","ENSCANT00000016494.1","ENSCATT00000060638.1","ENSCCAT00000053797.1","ENSCJAT00000090266.1","ENSCSAT00000016367.1","ENSGGOT00000029443.2","ENSMFAT00000032417.1","ENSMLET00000025460.1","ENSMMUT00000091014.1","ENSMICT00000069432.1","ENSMNET00000033616.1","ENSNLET00000047403.1","ENSOGAT00000014174.2","ENSPPYT00000024095.2","ENSPANT00000052693.1","ENSPCOT00000030898.1","ENSPPAT00000060772.1",NA,"ENSPTET00000041805.1","ENSPTRT00000076881.1","ENSRBIT00000015087.1",NA,"ENSSBOT00000001719.1","ENSTGET00000027669.1","ENSTSYT00000039020.1",2
"ENSG00000003756","RBM5","ENST00000347869.8","ENSANAT00000032546.1","ENSCANT00000038815.1","ENSCATT00000060782.1","ENSCCAT00000034836.1","ENSCJAT00000057711.3","ENSCSAT00000012492.1","ENSGGOT00000014554.3","ENSMFAT00000067468.1","ENSMLET00000044814.1","ENSMMUT00000066620.2","ENSMICT00000016181.3","ENSMNET00000067936.1","ENSNLET00000045480.1","ENSOGAT00000004208.2","lcl|XM_024245382.1_cds_XP_024101150.1_1 ","ENSPANT00000016134.2","ENSPCOT00000037645.1","ENSPPAT00000063743.1","ENSPSMT00000023440.1","ENSPTET00000003710.1","ENSPTRT00000027967.4","ENSRBIT00000015271.1","ENSRROT00000060245.1","ENSSBOT00000007547.1","ENSTGET00000007139.1","ENSTSYT00000004168.2",0
"ENSG00000004399","PLXND1","ENST00000324093.9","ENSANAT00000058341.1","ENSCANT00000062808.1","ENSCATT00000061679.1","ENSCCAT00000035004.1","ENSCJAT00000066987.2","ENSCSAT00000007210.1","ENSGGOT00000000741.3",NA,NA,"ENSMMUT00000097246.1","ENSMICT00000067966.1","ENSMNET00000049545.1","ENSNLET00000006708.3","ENSOGAT00000010279.2",NA,"ENSPANT00000000651.2","ENSPCOT00000040193.1","lcl|XM_034957332.1_cds_XP_034813223.1_1 ",NA,"ENSPTET00000017108.1","ENSPTRT00000028714.6","ENSRBIT00000045636.1","ENSRROT00000002632.1","ENSSBOT00000034448.1","ENSTGET00000019794.1",NA,5
"ENSG00000004487","KDM1A","ENST00000400181.9","ENSANAT00000034838.1","ENSCANT00000024306.1","ENSCATT00000047552.1","ENSCCAT00000005822.1","ENSCJAT00000011016.3","ENSCSAT00000017614.1","ENSGGOT00000003686.3","ENSMFAT00000028862.1","ENSMLET00000003196.1","ENSMMUT00000074263.2","ENSMICT00000045120.2","ENSMNET00000050201.1","ENSNLET00000035881.1","ENSOGAT00000002162.2","ENSPPYT00000002085.1","ENSPANT00000031408.1","ENSPCOT00000031333.1","ENSPPAT00000061678.1","ENSPSMT00000006628.1","ENSPTET00000015766.1","ENSPTRT00000092277.1","ENSRBIT00000056284.1","ENSRROT00000059100.1","ENSSBOT00000034246.1","ENSTGET00000005363.1","ENSTSYT00000011827.2",0
"ENSG00000004534","RBM6","ENST00000266022.9","ENSANAT00000057711.1","ENSCANT00000063138.1","ENSCATT00000040432.1","ENSCCAT00000025843.1","ENSCJAT00000009070.4","ENSCSAT00000012511.1","ENSGGOT00000014530.3",NA,NA,"ENSMMUT00000004945.4","ENSMICT00000016169.3","ENSMNET00000039205.1","ENSNLET00000008860.2","ENSOGAT00000004206.2","ENSPPYT00000016118.1","ENSPANT00000014823.2","ENSPCOT00000017600.1","ENSPPAT00000046415.1","ENSPSMT00000023243.1",NA,"ENSPTRT00000027962.5","ENSRBIT00000036143.1","ENSRROT00000034146.1","ENSSBOT00000011666.1","ENSTGET00000007164.1","ENSTSYT00000012975.2",3
"ENSG00000004848","ARX","ENST00000379044.5","ENSANAT00000042656.1",NA,"ENSCATT00000042264.1","ENSCCAT00000028953.1","ENSCJAT00000070803.2","ENSCSAT00000012406.1","ENSGGOT00000026214.2","ENSMFAT00000038613.1",NA,"ENSMMUT00000109814.1","ENSMICT00000065119.1","ENSMNET00000060485.1","lcl|XM_030807479.1_cds_XP_030663339.1_1 ","ENSOGAT00000026034.1",NA,"ENSPANT00000002405.2","ENSPCOT00000036495.1",NA,"ENSPSMT00000004027.1",NA,"ENSPTRT00000079936.1","ENSRBIT00000054245.1",NA,NA,"ENSTGET00000034732.1",NA,8
"ENSG00000004975","DVL2","ENST00000005340.10","ENSANAT00000041960.1","ENSCANT00000051619.1","ENSCATT00000068505.1","ENSCCAT00000047027.1","ENSCJAT00000032472.3","ENSCSAT00000010014.1","ENSGGOT00000033070.2","ENSMFAT00000019074.1","ENSMLET00000045216.1","ENSMMUT00000099499.1","ENSMICT00000004316.3","ENSMNET00000035698.1","ENSNLET00000010284.2","ENSOGAT00000004389.2","ENSPPYT00000009251.2","ENSPANT00000023336.2","ENSPCOT00000017173.1","ENSPPAT00000038911.1","ENSPSMT00000033373.1","ENSPTET00000021772.1","ENSPTRT00000015976.5","ENSRBIT00000039770.1","ENSRROT00000043821.1","ENSSBOT00000031301.1","ENSTGET00000034207.1","ENSTSYT00000042945.1",0
