EnsemblID	GeneName	Hsap	Anan	Capa	Caty	Ccap	Cjac	Csab	Ggor	Mfas	Mleu	Mmul	Mmur	Mnem	Nleu	Ogar	Ppyg	Panu	Pcoq	Ppan	Psim	Ptep	Ptro	Rbie	Rrox	Sbbo	Tgel	Tsyr
ENSG00000001167	NFYA	ENST00000341376.10	ENSANAT00000060049.1	ENSCANT00000031999.1	ENSCATT00000041382.1	ENSCCAT00000031788.1	ENSCJAT00000080316.2	ENSCSAT00000009274.1	ENSGGOT00000042967.1	ENSMFAT00000013775.1	ENSMLET00000042503.1	ENSMMUT00000074189.2	ENSMICT00000043865.2	ENSMNET00000028463.1	ENSNLET00000042475.1	ENSOGAT00000002640.2	ENSPPYT00000019292.2	ENSPANT00000047797.1	ENSPCOT00000042018.1	ENSPPAT00000060889.1	ENSPSMT00000024350.1	ENSPTET00000050396.1	ENSPTRT00000033550.5	ENSRBIT00000038489.1	ENSRROT00000032881.1	ENSSBOT00000057157.1	ENSTGET00000044122.1	ENSTSYT00000026263.1
ENSG00000003756	RBM5	ENST00000347869.8	ENSANAT00000032546.1	ENSCANT00000038815.1	ENSCATT00000060782.1	ENSCCAT00000034836.1	ENSCJAT00000057711.3	ENSCSAT00000012492.1	ENSGGOT00000014554.3	ENSMFAT00000067468.1	ENSMLET00000044814.1	ENSMMUT00000066620.2	ENSMICT00000016181.3	ENSMNET00000067936.1	ENSNLET00000045480.1	ENSOGAT00000004208.2	lcl|XM_024245382.1_cds_XP_024101150.1_1 	ENSPANT00000016134.2	ENSPCOT00000037645.1	ENSPPAT00000063743.1	ENSPSMT00000023440.1	ENSPTET00000003710.1	ENSPTRT00000027967.4	ENSRBIT00000015271.1	ENSRROT00000060245.1	ENSSBOT00000007547.1	ENSTGET00000007139.1	ENSTSYT00000004168.2
ENSG00000004487	KDM1A	ENST00000400181.9	ENSANAT00000034838.1	ENSCANT00000024306.1	ENSCATT00000047552.1	ENSCCAT00000005822.1	ENSCJAT00000011016.3	ENSCSAT00000017614.1	ENSGGOT00000003686.3	ENSMFAT00000028862.1	ENSMLET00000003196.1	ENSMMUT00000074263.2	ENSMICT00000045120.2	ENSMNET00000050201.1	ENSNLET00000035881.1	ENSOGAT00000002162.2	ENSPPYT00000002085.1	ENSPANT00000031408.1	ENSPCOT00000031333.1	ENSPPAT00000061678.1	ENSPSMT00000006628.1	ENSPTET00000015766.1	ENSPTRT00000092277.1	ENSRBIT00000056284.1	ENSRROT00000059100.1	ENSSBOT00000034246.1	ENSTGET00000005363.1	ENSTSYT00000011827.2
ENSG00000004975	DVL2	ENST00000005340.10	ENSANAT00000041960.1	ENSCANT00000051619.1	ENSCATT00000068505.1	ENSCCAT00000047027.1	ENSCJAT00000032472.3	ENSCSAT00000010014.1	ENSGGOT00000033070.2	ENSMFAT00000019074.1	ENSMLET00000045216.1	ENSMMUT00000099499.1	ENSMICT00000004316.3	ENSMNET00000035698.1	ENSNLET00000010284.2	ENSOGAT00000004389.2	ENSPPYT00000009251.2	ENSPANT00000023336.2	ENSPCOT00000017173.1	ENSPPAT00000038911.1	ENSPSMT00000033373.1	ENSPTET00000021772.1	ENSPTRT00000015976.5	ENSRBIT00000039770.1	ENSRROT00000043821.1	ENSSBOT00000031301.1	ENSTGET00000034207.1	ENSTSYT00000042945.1
ENSG00000005007	UPF1	ENST00000262803.10	ENSANAT00000030198.1	ENSCANT00000035913.1	ENSCATT00000059107.1	ENSCCAT00000046228.1	ENSCJAT00000038547.3	ENSCSAT00000003309.1	ENSGGOT00000002626.3	ENSMFAT00000011471.1	ENSMLET00000031862.1	ENSMMUT00000067563.2	ENSMICT00000047533.2	ENSMNET00000000153.1	ENSNLET00000042956.1	ENSOGAT00000012872.2	ENSPPYT00000011348.2	ENSPANT00000056931.1	ENSPCOT00000034038.1	ENSPPAT00000065602.1	ENSPSMT00000001735.1	ENSPTET00000041614.1	ENSPTRT00000094219.1	ENSRBIT00000015671.1	ENSRROT00000059248.1	ENSSBOT00000030643.1	ENSTGET00000022152.1	ENSTSYT00000049559.1
ENSG00000005073	HOXA11	ENST00000006015.4	ENSANAT00000028293.1	ENSCANT00000024656.1	ENSCATT00000001747.1	ENSCCAT00000053723.1	ENSCJAT00000015961.4	ENSCSAT00000012402.1	ENSGGOT00000033915.2	ENSMFAT00000034136.1	ENSMLET00000048057.1	ENSMMUT00000093492.1	ENSMICT00000036298.2	ENSMNET00000037111.1	ENSNLET00000019137.2	ENSOGAT00000012391.2	ENSPPYT00000020621.1	ENSPANT00000001529.2	ENSPCOT00000025478.1	ENSPPAT00000053139.1	ENSPSMT00000024152.1	ENSPTET00000029288.1	ENSPTRT00000035162.4	ENSRBIT00000005670.1	ENSRROT00000035863.1	ENSSBOT00000023665.1	ENSTGET00000030796.1	ENSTSYT00000006241.2
ENSG00000005339	CREBBP	ENST00000262367.10	ENSANAT00000028303.1	ENSCANT00000054151.1	ENSCATT00000057326.1	ENSCCAT00000033341.1	ENSCJAT00000038739.4	ENSCSAT00000007732.1	ENSGGOT00000006057.3	ENSMFAT00000010403.1	ENSMLET00000003655.1	ENSMMUT00000083078.1	ENSMICT00000039505.2	ENSMNET00000065605.1	ENSNLET00000012494.3	ENSOGAT00000002316.2	ENSPPYT00000008305.2	ENSPANT00000026852.2	ENSPCOT00000031781.1	ENSPPAT00000053659.1	ENSPSMT00000029413.1	ENSPTET00000013670.1	ENSPTRT00000091645.1	ENSRBIT00000054554.1	ENSRROT00000000806.1	ENSSBOT00000038997.1	ENSTGET00000036984.1	ENSTSYT00000029462.1
ENSG00000005981	ASB4	ENST00000325885.6	ENSANAT00000029958.1	ENSCANT00000042451.1	ENSCATT00000035412.1	ENSCCAT00000041215.1	ENSCJAT00000025804.3	ENSCSAT00000011059.1	ENSGGOT00000006536.3	ENSMFAT00000003109.1	ENSMLET00000048991.1	ENSMMUT00000011211.4	ENSMICT00000005744.3	ENSMNET00000046069.1	ENSNLET00000020189.2	ENSOGAT00000008470.2	ENSPPYT00000020740.2	ENSPANT00000026204.3	ENSPCOT00000034396.1	ENSPPAT00000061715.1	ENSPSMT00000014647.1	ENSPTET00000046577.1	ENSPTRT00000035940.6	ENSRBIT00000060917.1	ENSRROT00000052524.1	ENSSBOT00000028782.1	ENSTGET00000000787.1	ENSTSYT00000006949.2
ENSG00000006194	ZNF263	ENST00000219069.6	ENSANAT00000022608.1	ENSCANT00000055910.1	ENSCATT00000052905.1	ENSCCAT00000042214.1	ENSCJAT00000038460.4	ENSCSAT00000008142.1	ENSGGOT00000010508.3	ENSMFAT00000066364.1	ENSMLET00000027399.1	ENSMMUT00000065105.2	ENSMICT00000014144.3	ENSMNET00000052656.1	ENSNLET00000012271.2	ENSOGAT00000015890.2	ENSPPYT00000008291.2	ENSPANT00000019568.2	ENSPCOT00000032166.1	ENSPPAT00000041846.1	ENSPSMT00000028528.1	ENSPTET00000016126.1	ENSPTRT00000014178.5	ENSRBIT00000032964.1	ENSRROT00000058011.1	ENSSBOT00000024207.1	ENSTGET00000037859.1	ENSTSYT00000028672.1
ENSG00000007545	CRAMP1	ENST00000397412.8	ENSANAT00000036766.1	ENSCANT00000050636.1	ENSCATT00000057626.1	ENSCCAT00000026070.1	ENSCJAT00000028446.2	ENSCSAT00000009604.1	ENSGGOT00000006219.3	ENSMFAT00000007091.1	ENSMLET00000055377.1	ENSMMUT00000001397.4	ENSMICT00000014119.3	ENSMNET00000040795.1	ENSNLET00000010854.3	ENSOGAT00000001258.2	ENSPPYT00000008205.2	ENSPANT00000005569.2	ENSPCOT00000005494.1	ENSPPAT00000048812.1	ENSPSMT00000041394.1	ENSPTET00000050946.1	ENSPTRT00000014023.6	ENSRBIT00000039371.1	ENSRROT00000064882.1	ENSSBOT00000050490.1	ENSTGET00000006928.1	ENSTSYT00000002913.2
